"EventID" "TrapID" "StartDate" "EndDate" "Sampling.period..days." "NA."
"271" 1616 9 "2005-10-21" "2005-12-08" 48 NA
"272" 396 10 "2003-06-23" "2003-07-08" 15 NA
"273" 397 10 "2003-07-08" "2003-07-21" 13 NA
"274" 398 10 "2003-07-21" "2003-08-04" 14 NA
"275" 399 10 "2003-08-04" "2003-08-26" 22 NA
"276" 400 10 "2003-08-26" "2003-09-16" 21 NA
"277" 401 10 "2003-09-16" "2003-10-14" 28 NA
"278" 402 10 "2003-10-14" "2003-11-11" 28 NA
"279" 403 10 "2003-11-11" "2004-01-14" 64 NA
"280" 404 10 "2004-01-14" "2004-02-18" 35 NA
"281" 405 10 "2004-02-18" "2004-03-27" 38 NA
"282" 406 10 "2004-03-27" "2004-04-15" 19 NA
"283" 407 10 "2004-04-15" "2004-05-13" 28 NA
"284" 408 10 "2004-05-13" "2004-06-18" 36 NA
"285" 876 10 "2004-06-18" "2004-07-01" 13 NA
"286" 877 10 "2004-07-01" "2004-07-28" 27 NA
"287" 878 10 "2004-07-28" "2004-09-16" 50 NA
"288" 879 10 "2004-09-16" "2004-12-16" 91 NA
"289" 880 10 "2004-12-16" "2005-03-03" 77 NA
"290" 1617 10 "2005-03-03" "2005-03-30" 27 NA
"291" 1618 10 "2005-03-30" "2005-04-15" 16 NA
"292" 1619 10 "2005-04-15" "2005-05-03" 18 NA
"293" 1620 10 "2005-05-03" "2005-05-18" 15 NA
"294" 1621 10 "2005-05-18" "2005-05-31" 13 NA
"295" 1622 10 "2005-05-31" "2005-07-01" 31 NA
"296" 1623 10 "2005-07-01" "2005-07-15" 14 NA
"297" 1624 10 "2005-07-15" "2005-08-01" 17 NA
"298" 1625 10 "2005-08-01" "2005-08-15" 14 NA
"299" 1626 10 "2005-08-15" "2005-09-01" 17 NA
"300" 1627 10 "2005-09-01" "2005-09-16" 15 NA
"301" 1628 10 "2005-09-16" "2005-10-03" 17 NA
"302" 1629 10 "2005-10-03" "2005-10-24" 21 NA
"303" 1630 10 "2005-10-24" "2005-12-01" 38 NA
"304" 1631 10 "2005-12-01" "2006-05-11" 161 NA
"305" 409 11 "2003-06-23" "2003-07-07" 14 NA
"306" 410 11 "2003-07-07" "2003-07-23" 16 NA
"307" 411 11 "2003-07-23" "2003-08-04" 12 NA
"308" 412 11 "2003-08-04" "2003-08-18" 14 NA
"309" 413 11 "2003-08-18" "2003-09-01" 14 NA
"310" 414 11 "2003-09-01" "2003-09-15" 14 NA
"311" 415 11 "2003-09-15" "2003-10-01" 16 NA
"312" 416 11 "2003-10-01" "2003-10-25" 24 NA
"313" 417 11 "2003-10-25" "2004-06-08" 227 NA
"314" 418 11 "2004-06-08" "2004-06-16" 8 NA
"315" 881 11 "2004-06-16" "2004-07-09" 23 NA
"316" 882 11 "2004-07-09" "2004-07-21" 12 NA
"317" 883 11 "2004-07-21" "2004-07-29" 8 NA
"318" 884 11 "2004-07-29" "2004-08-14" 16 NA
"319" 885 11 "2004-08-14" "2004-08-27" 13 NA
"320" 886 11 "2004-08-27" "2004-09-14" 18 NA
"321" 887 11 "2004-09-14" "2004-10-09" 25 NA
"322" 1632 11 "2004-10-09" "2005-05-22" 225 NA
"323" 1633 11 "2005-05-22" "2005-06-06" 15 NA
"324" 1634 11 "2005-06-06" "2005-06-23" 17 NA
"325" 5013 11 "2005-06-23" "2005-07-09" 16 NA
"326" 1635 11 "2005-07-09" "2005-08-14" 36 NA
"327" 1636 11 "2005-08-14" "2005-09-06" 23 NA
"328" 1637 11 "2005-09-06" "2005-09-25" 19 NA
"329" 1638 11 "2005-09-25" "2005-10-17" 22 NA
"330" 69 12 "2003-06-24" "2003-07-05" 11 NA
"331" 70 12 "2003-07-05" "2003-07-20" 15 NA
"332" 175 12 "2003-07-20" "2003-08-02" 13 NA
"333" 176 12 "2003-08-02" "2003-08-09" 7 NA
"334" 177 12 "2003-08-09" "2003-08-25" 16 NA
"335" 178 12 "2003-08-25" "2003-09-19" 25 NA
"336" 179 12 "2003-09-19" "2003-10-09" 20 NA
"337" 180 12 "2003-10-09" "2003-10-19" 10 NA
"338" 419 12 "2003-10-19" "2003-11-29" 41 NA
"339" 420 12 "2003-11-29" "2004-01-11" 43 NA
"340" 421 12 "2004-01-11" "2004-03-27" 76 NA
"341" 422 12 "2004-03-27" "2004-04-24" 28 NA
"342" 888 12 "2004-04-24" "2004-05-16" 22 NA
"343" 889 12 "2004-05-16" "2004-06-13" 28 NA
"344" 890 12 "2004-06-13" "2004-06-27" 14 NA
"345" 891 12 "2004-06-27" "2004-07-17" 20 NA
"346" 892 12 "2004-07-17" "2004-08-01" 15 NA
"347" 893 12 "2004-08-01" "2004-08-09" 8 NA
"348" 894 12 "2004-08-09" "2004-08-19" 10 NA
"349" 895 12 "2004-08-19" "2004-08-28" 9 NA
"350" 896 12 "2004-08-28" "2004-09-11" 14 NA
"351" 897 12 "2004-09-11" "2004-10-02" 21 NA
"352" 898 12 "2004-10-02" "2004-10-31" 29 NA
"353" 899 12 "2004-10-31" "2004-12-04" 34 NA
"354" 900 12 "2004-12-04" "2005-01-05" 32 NA
"355" 901 13 "2003-06-24" "2003-07-22" 28 NA
"356" 902 13 "2003-07-22" "2003-08-05" 14 NA
"357" 903 13 "2003-08-05" "2003-09-03" 29 NA
"358" 904 13 "2003-09-03" "2003-09-17" 14 NA
"359" 905 13 "2003-09-17" "2003-10-03" 16 NA
"360" 906 13 "2003-10-03" "2003-10-14" 11 NA
"361" 907 13 "2003-10-14" "2003-11-14" 31 NA
"362" 908 13 "2003-11-14" "2003-12-09" 25 NA
"363" 1748 13 "2003-12-09" "2004-03-25" 107 NA
"364" 1749 13 "2004-03-25" "2004-04-25" 31 NA
"365" 1750 13 "2004-04-25" "2004-05-25" 30 NA
"366" 909 13 "2004-05-25" "2004-06-08" 14 NA
"367" 910 13 "2004-06-08" "2004-06-23" 15 NA
"368" 911 13 "2004-06-23" "2004-07-07" 14 NA
"369" 912 13 "2004-07-07" "2004-08-08" 32 NA
"370" 913 13 "2004-08-08" "2004-08-17" 9 NA
"371" 914 13 "2004-08-17" "2004-09-08" 22 NA
"372" 915 13 "2004-09-08" "2004-10-27" 49 NA
"373" 916 13 "2004-10-27" "2004-12-15" 49 NA
"374" 917 13 "2004-12-15" "2005-03-03" 78 NA
"375" 1639 13 "2005-03-03" "2005-04-28" 56 NA
"376" 1640 13 "2005-04-28" "2005-05-28" 30 NA
"377" 1641 13 "2005-05-28" "2005-06-15" 18 NA
"378" 1642 13 "2005-06-15" "2005-07-05" 20 NA
"379" 1643 13 "2005-07-05" "2005-07-12" 7 NA
"380" 1644 13 "2005-07-12" "2005-07-20" 8 NA
"381" 1645 13 "2005-07-20" "2005-07-26" 6 NA
"382" 1646 13 "2005-07-26" "2005-08-02" 7 NA
"383" 1647 13 "2005-08-02" "2005-08-23" 21 NA
"384" 1648 13 "2005-08-23" "2005-09-16" 24 NA
"385" 918 14 "2003-06-24" "2003-07-22" 28 NA
"386" 919 14 "2003-07-22" "2003-08-05" 14 NA
"387" 920 14 "2003-08-05" "2003-09-03" 29 NA
"388" 921 14 "2003-09-03" "2003-09-17" 14 NA
"389" 922 14 "2003-09-17" "2003-10-01" 14 NA
"390" 923 14 "2003-10-01" "2003-10-14" 13 NA
"391" 924 14 "2003-10-14" "2003-11-14" 31 NA
"392" 925 14 "2003-11-14" "2003-12-09" 25 NA
"393" 1751 14 "2003-12-09" "2004-03-25" 107 NA
"394" 1752 14 "2004-03-25" "2004-04-25" 31 NA
"395" 1753 14 "2004-04-25" "2004-05-25" 30 NA
"396" 1999 14 "2004-05-25" "2004-06-08" 14 NA
"397" 927 14 "2004-06-08" "2004-06-23" 15 NA
"398" 928 14 "2004-06-23" "2004-07-07" 14 NA
"399" 929 14 "2004-07-07" "2004-08-08" 32 NA
"400" 930 14 "2004-08-08" "2004-08-17" 9 NA
"401" 931 14 "2004-08-17" "2004-09-08" 22 NA
"402" 932 14 "2004-09-08" "2004-10-27" 49 NA
"403" 933 14 "2004-10-27" "2004-12-15" 49 NA
"404" 934 14 "2004-12-15" "2005-03-03" 78 NA
"405" 1649 14 "2005-03-03" "2005-04-28" 56 NA
"406" 1650 14 "2005-04-28" "2005-05-28" 30 NA
"407" 1651 14 "2005-05-28" "2005-06-15" 18 NA
"408" 1652 14 "2005-06-15" "2005-07-05" 20 NA
"409" 1653 14 "2005-07-05" "2005-07-19" 14 NA
"410" 1654 14 "2005-07-19" "2005-08-02" 14 NA
"411" 1655 14 "2005-08-02" "2005-08-23" 21 NA
"412" 1656 14 "2005-08-23" "2005-09-16" 24 NA
"413" 1657 14 "2005-09-16" "2006-04-24" 220 NA
"414" 935 15 "2003-06-24" "2003-07-22" 28 NA
"415" 936 15 "2003-07-22" "2003-08-05" 14 NA
"416" 937 15 "2003-08-05" "2003-08-18" 13 NA
"417" 938 15 "2003-08-18" "2003-09-03" 16 NA
"418" 939 15 "2003-09-03" "2003-09-17" 14 NA
"419" 940 15 "2003-09-17" "2003-10-01" 14 NA
"420" 941 15 "2003-10-01" "2003-10-14" 13 NA
"421" 942 15 "2003-10-14" "2003-11-14" 31 NA
"422" 943 15 "2003-11-14" "2003-12-09" 25 NA
"423" 1754 15 "2003-12-09" "2004-03-25" 107 NA
"424" 1755 15 "2004-03-25" "2004-04-25" 31 NA
"425" 1756 15 "2004-04-25" "2004-05-25" 30 NA
"426" 944 15 "2004-05-25" "2004-06-23" 29 NA
"427" 945 15 "2004-06-23" "2004-07-07" 14 NA
"428" 946 15 "2004-07-07" "2004-08-08" 32 NA
"429" 947 15 "2004-08-08" "2004-09-08" 31 NA
"430" 948 15 "2004-09-08" "2004-10-27" 49 NA
"431" 949 15 "2004-10-27" "2004-12-15" 49 NA
"432" 950 15 "2004-12-15" "2005-03-03" 78 NA
"433" 1658 15 "2005-03-03" "2005-05-28" 86 NA
"434" 1659 15 "2005-05-28" "2005-07-05" 38 NA
"435" 1660 15 "2005-07-05" "2005-07-19" 14 NA
"436" 1661 15 "2005-07-19" "2005-08-02" 14 NA
"437" 1662 15 "2005-08-02" "2005-08-23" 21 NA
"438" 1663 15 "2005-08-23" "2005-09-16" 24 NA
"439" 1664 15 "2005-09-16" "2006-04-24" 220 NA
"440" 951 16 "2003-06-24" "2003-07-22" 28 NA
"441" 952 16 "2003-07-22" "2003-09-03" 43 NA
"442" 953 16 "2003-09-03" "2003-09-17" 14 NA
"443" 954 16 "2003-09-17" "2003-10-01" 14 NA
"444" 955 16 "2003-10-01" "2003-10-14" 13 NA
"445" 956 16 "2003-10-14" "2003-11-14" 31 NA
"446" 957 16 "2003-11-14" "2003-12-09" 25 NA
"447" 1757 16 "2003-12-09" "2004-03-25" 107 NA
"448" 1758 16 "2004-03-25" "2004-04-24" 30 NA
"449" 1759 16 "2004-04-24" "2004-05-25" 31 NA
"450" 958 16 "2004-05-25" "2004-06-08" 14 NA
"451" 959 16 "2004-06-08" "2004-06-23" 15 NA
"452" 960 16 "2004-06-23" "2004-07-07" 14 NA
"453" 961 16 "2004-07-07" "2004-08-08" 32 NA
"454" 962 16 "2004-08-08" "2004-09-08" 31 NA
"455" 963 16 "2004-09-08" "2004-10-27" 49 NA
"456" 964 16 "2004-10-27" "2004-12-15" 49 NA
"457" 965 16 "2004-12-15" "2005-03-03" 78 NA
"458" 1665 16 "2005-03-03" "2005-05-28" 86 NA
