"TrapID" "Locality.name.on.label" "Country" "Province" "Province.abbreviation" "County" "Parish" "Locality" "Complete.locality.name" "Latitude" "Longitude" "GPS.precision" "Biogeographic.region" "Method" "Habitat" "Habitat.class" "Trap.head.direction" "Altitude.m.s.l." "Vegetation" "Running.period.start" "Running.period.end" "Number.of.samples"
"30" 31 "Bo Ödsmål Kolhättan" "Sweden" "Bohuslän" "Bo" "Stenungsunds kommun" "Ödsmål socken" "Kolhättan, Hällsberget" "SE, Bo, Stenungsunds kommun, Ödsmål socken, Kolhättan, Hällsberget" 58.140933 11.8562 "10 m" "nemoral" "Malaise trap, Townes model" "Deciduous forest in rocky slope" "Forest: nemoral deciduous forest" "164°" 75 "Betula pendula, Deschampsia flexuosa, Melica nutans, Oxalis acetosella, Picea abies, Poa annua, Populus tremula, Pteridium aquilinum, Quercus robur, Rubus idaeus, Sorbus aucuparia, Tilia cordata, Viola sp" "2003-07-10" "2006-05-08" 41
"31" 32 "Bo Stora Snixholmen" "Sweden" "Bohuslän" "Bo" "Tanums kommun" "Kville socken" "Hamburgsund, Stora Snixholmen" "SE, Bo, Tanums kommun, Kville socken, Hamburgsund, Stora Snixholmen" 58.564417 11.251733 "10 m" "boreonemoral" "Malaise trap, Townes model" "Crevice in open coastal granite rock" "Open meagre damp habitat" "238°" 5 "Achillea millefolium, Calluna vulgaris, Calystegia sepium, Cirsium palustre, Eleocharis palustris, Euphorbia palustris, Galium aparine, Galium verum, Hypericum perforatum, Linaria vulgaris, Salix hastata, Sedum acre, Sedum telephium, Silene uniflora, Sorbus aucuparia, Sorbus intermedia, Ulmus glabra" "2003-07-12" "2006-05-05" 42
"32" 33 "Ha Särö Västerskog" "Sweden" "Halland" "Ha" "Kungsbacka kommun" "Släp socken" "Särö Västerskog, mid-northern part" "SE, Ha, Kungsbacka kommun, Släp socken, Särö Västerskog, mid-northern part" 57.5052 11.925733 "10 m" "nemoral" "Malaise trap, Townes model" "Oak forest with pines" "Forest: nemoral deciduous forest" "112°" 24 "Deschampsia flexuosa, Juniperus communis, Lonicera caprifolium, Pinus sylvestris, Polypodium vulgare, Quercus robur, Sorbus aucuparia, Taxus baccata, Vaccinium myrtillus" "2003-07-10" "2006-01-04" 47
"33" 34 "Ha Mästocka ljunghed" "Sweden" "Halland" "Ha" "Laholms kommun" "Veinge socken" "Mästocka, Mästocka ljunghed, northeastern edge" "SE, Ha, Laholms kommun, Veinge socken, Mästocka, Mästocka ljunghed, northeastern edge" 56.61385 13.233767 "10 m" "nemoral" "Malaise trap, Townes model" "Calluna heath with atlantic climatic influence" "Open meagre dry habitat" "188°" 136 "Andromeda polifolia, Betula pubescens, Calluna vulgaris, Empetrum nigrum, Eriophorum angustifolium, Myrica gale, Pinus sylvestris" "2003-07-05" "2004-09-24" 16
"34" 35 "Ha Gårdshult Buskastycket" "Sweden" "Halland" "Ha" "Halmstad kommun" "Tönnersjö socken" "Gårdshult NR, Buskastycket" "SE, Ha, Halmstad kommun, Tönnersjö socken, Gårdshult NR, Buskastycket" 56.694883 13.1505 "10 m" "nemoral" "Malaise trap, Townes model" "Moist hay-making meadow in deciduous forest" "Open lush habitat" "226°" 148 "Betula pubescens, Calluna vulgaris, Carex echinata, Carex nigra, Deschampsia flexuosa, Eriophorum angustifolium, Juncus conglomeratus, Maianthemum bifolium, Melampyrum pratense, Molinia caerulea, Polytrichum, Quercus robur, Sphagnum, Trichophorum cespitosum germanicum, Vaccinium myrtillus" "2003-07-11" "2005-11-04" 39
"35" 36 "Sk Skäralid steep" "Sweden" "Skåne" "Sk" "Klippans kommun" "Riseberga socken" "Söderåsen NP, Skäralid, Northern Lierna, mid-slope" "SE, Sk, Klippans kommun, Riseberga socken, Söderåsen NP, Skäralid, Northern Lierna, mid-slope" 56.026367 13.223033 "10 m" "nemoral" "Malaise trap, Townes model" "Beech forest in steep canyon slope" "Forest: nemoral deciduous forest" "240°" 125 "Deschampsia flexuosa beech forest, Deschampsia flexuosa, Fagus sylvatica, Viburnum sp." "2003-07-11" "2006-05-07" 22
"36" 37 "Sk Skäralid valley" "Sweden" "Skåne" "Sk" "Klippans kommun" "Riseberga socken" "Söderåsen NP, Skäralid, valley below northern Lierna" "SE, Sk, Klippans kommun, Riseberga socken, Söderåsen NP, Skäralid, valley below northern Lierna" 56.027217 13.223433 "10 m" "nemoral" "Malaise trap, Townes model" "Rich beech forest at canyon bottom" "Forest: nemoral deciduous forest" "DATA MISSING ON WEBPAGE" 108 "Alnus glutinosa, Betula pendula, Fagus sylvatica, Fraxinus excelsior, Rubus idaeus, Sorbus aucuparia" "2003-07-11" "2006-05-07" 22
"37" 38 "Sk Drakamöllan" "Sweden" "Skåne" "Sk" "Tomelilla kommun" "Maglehem socken" "Drakamöllan, border between pasture 1 and 2" "SE, Sk, Tomelilla kommun, Maglehem socken, Drakamöllan, border between pasture 1 and 2" 55.761767 14.1178 "10 m" "nemoral" "Malaise trap, Townes model" "\"Sandstäpp\": Koeleria xeric sand calcareous grassland" "Open meagre dry habitat" "250°" 84 "Agrostis capillaris heath, Agrostis capillaris, Armeria maritima, Calluna vulgaris, Corynephorus canescens, Deschampsia flexuosa, Galium verum, Helichrysum arenarium, Juniperus communis, Sedum acre, Thymus serpyllum serpyllum" "2003-07-11" "2006-02-02" 84
"38" 39 "Sk Stenshuvud hill" "Sweden" "Skåne" "Sk" "Simrishamns kommun" "Södra Mellby socken" "Stenshuvud NP, Stenshuvud hill, above Krivarboden" "SE, Sk, Simrishamns kommun, Södra Mellby socken, Stenshuvud NP, Stenshuvud hill, above Krivarboden" 55.6603 14.275533 "10 m" "nemoral" "Malaise trap, Townes model" "Lush mixed oak forest" "Forest: nemoral deciduous forest" "230°" 29 "Acer pseudoplatanus, Carpinus betulus, Corylus avellana, Cotoneaster niger, Festuca ovina, Fraxinus excelsior, Lonicera caprifolium, Malus domestica, Melica uniflora, Polypodium vulgare, Quercus robur, Rosa, Rubus, Stellaria holostea, Tilia cordata" "2003-07-12" "2006-01-13" 35
"39" 40 "Sk Stenshuvud Svabesholmsskog" "Sweden" "Skåne" "Sk" "Simrishamns kommun" "Södra Mellby socken" "Stenshuvud NP, northern Svabesholmsskog" "SE, Sk, Simrishamns kommun, Södra Mellby socken, Stenshuvud NP, northern Svabesholmsskog" 55.661383 14.268733 "10 m" "nemoral" "Malaise trap, Townes model" "Hornbeam forest" "Forest: nemoral deciduous forest" "173°" 45 "Anemone nemorosa, Cardamine bulbifera, Carpinus betulus, Fagus sylvatica, Glechoma hederacea, Oxalis acetosella, Stellaria nemorum, Viola riviniana" "2003-07-12" "2006-01-16" 36
"40" 41 "Sm Store mosse" "Sweden" "Småland" "Sm" "Gnosjö kommun" "Kävsjö socken" "Store mosse NP, Kittlakull" "SE, Sm, Gnosjö kommun, Kävsjö socken, Store mosse NP, Kittlakull" 57.287233 13.919133 "10 m" "boreonemoral" "Malaise trap, Townes model" "Sphagnum bog" "Open meagre damp habitat" "DATA MISSING ON WEBPAGE" 167 "Andromeda polifolia, Betula pubescens, Calluna vulgaris, Empetrum nigrum, Eriophorum angustifolium, Pinus sylvestris, Sphagnum spp." "2003-07-12" "2006-02-07" 43
"41" 42 "Hr Sånfjället" "Sweden" "Härjedalen" "Hr" "Härejdalens kommun" "Hede socken" "Sonfjället NP, Sånfjället, Nyvallens fäbod" "SE, Hr, Härejdalens kommun, Hede socken, Sonfjället NP, Sånfjället, Nyvallens fäbod" 62.316683 13.568555 "10 m" "alpine" "Malaise trap, Townes model" "Alpine downy birch forest with spruce on mountain side" "Forest: boreal deciduous forest" "150°" 733 "Betula pubescens, Epilobium angustifolium, Geranium sylvaticum, (Lycopodiaceae), Melampyrum sylvaticum, Nardus stricta, Picea abies, Solidago virgaurea, Sorbus aucuparia, Vaccinium myrtillus" "2003-07-16" "2005-04-20" 10
"42" 43 "Hs Bjuråker Stensjön" "Sweden" "Hälsingland" "Hs" "Hudiksvalls kommun" "Bjuråker socken" "Stensjön-Lomtjärn NR, Stensjön" "SE, Hs, Hudiksvalls kommun, Bjuråker socken, Stensjön-Lomtjärn NR, Stensjön" 62.140333 16.2861 "10 m" "boreal" "Malaise trap, Townes model" "Moist pine forest near Sphagnum bog" "Forest: coniferous forest" "185°" 359 "Betula pubescens, Calluna vulgaris, Empetrum nigrum, Goodyera repens, Myrica gale, Picea abies, Pinus sylvestris, Rubus chamaemorus, Salix, Sphagnum, Vaccinium myrtillus" "2003-07-17" "2006-05-02" 53
