"EventID" "TrapID" "StartDate" "EndDate" "Sampling.period..days."
"290" 1617 10 "2005-03-03" "2005-03-30" 27
"291" 1618 10 "2005-03-30" "2005-04-15" 16
"292" 1619 10 "2005-04-15" "2005-05-03" 18
"293" 1620 10 "2005-05-03" "2005-05-18" 15
"294" 1621 10 "2005-05-18" "2005-05-31" 13
"295" 1622 10 "2005-05-31" "2005-07-01" 31
"296" 1623 10 "2005-07-01" "2005-07-15" 14
"297" 1624 10 "2005-07-15" "2005-08-01" 17
"298" 1625 10 "2005-08-01" "2005-08-15" 14
"299" 1626 10 "2005-08-15" "2005-09-01" 17
"300" 1627 10 "2005-09-01" "2005-09-16" 15
"301" 1628 10 "2005-09-16" "2005-10-03" 17
"302" 1629 10 "2005-10-03" "2005-10-24" 21
"303" 1630 10 "2005-10-24" "2005-12-01" 38
"304" 1631 10 "2005-12-01" "2006-05-11" 161
"305" 409 11 "2003-06-23" "2003-07-07" 14
"306" 410 11 "2003-07-07" "2003-07-23" 16
"307" 411 11 "2003-07-23" "2003-08-04" 12
"308" 412 11 "2003-08-04" "2003-08-18" 14
"309" 413 11 "2003-08-18" "2003-09-01" 14
"310" 414 11 "2003-09-01" "2003-09-15" 14
"311" 415 11 "2003-09-15" "2003-10-01" 16
"312" 416 11 "2003-10-01" "2003-10-25" 24
"313" 417 11 "2003-10-25" "2004-06-08" 227
"314" 418 11 "2004-06-08" "2004-06-16" 8
"315" 881 11 "2004-06-16" "2004-07-09" 23
"316" 882 11 "2004-07-09" "2004-07-21" 12
"317" 883 11 "2004-07-21" "2004-07-29" 8
"318" 884 11 "2004-07-29" "2004-08-14" 16
"319" 885 11 "2004-08-14" "2004-08-27" 13
"320" 886 11 "2004-08-27" "2004-09-14" 18
"321" 887 11 "2004-09-14" "2004-10-09" 25
"322" 1632 11 "2004-10-09" "2005-05-22" 225
"323" 1633 11 "2005-05-22" "2005-06-06" 15
"324" 1634 11 "2005-06-06" "2005-06-23" 17
"325" 5013 11 "2005-06-23" "2005-07-09" 16
"326" 1635 11 "2005-07-09" "2005-08-14" 36
"327" 1636 11 "2005-08-14" "2005-09-06" 23
"328" 1637 11 "2005-09-06" "2005-09-25" 19
"329" 1638 11 "2005-09-25" "2005-10-17" 22
"330" 69 12 "2003-06-24" "2003-07-05" 11
"331" 70 12 "2003-07-05" "2003-07-20" 15
"332" 175 12 "2003-07-20" "2003-08-02" 13
"333" 176 12 "2003-08-02" "2003-08-09" 7
"334" 177 12 "2003-08-09" "2003-08-25" 16
"335" 178 12 "2003-08-25" "2003-09-19" 25
"336" 179 12 "2003-09-19" "2003-10-09" 20
"337" 180 12 "2003-10-09" "2003-10-19" 10
"338" 419 12 "2003-10-19" "2003-11-29" 41
"339" 420 12 "2003-11-29" "2004-01-11" 43
"340" 421 12 "2004-01-11" "2004-03-27" 76
"341" 422 12 "2004-03-27" "2004-04-24" 28
"342" 888 12 "2004-04-24" "2004-05-16" 22
"343" 889 12 "2004-05-16" "2004-06-13" 28
"344" 890 12 "2004-06-13" "2004-06-27" 14
"345" 891 12 "2004-06-27" "2004-07-17" 20
"346" 892 12 "2004-07-17" "2004-08-01" 15
"347" 893 12 "2004-08-01" "2004-08-09" 8
"348" 894 12 "2004-08-09" "2004-08-19" 10
"349" 895 12 "2004-08-19" "2004-08-28" 9
"350" 896 12 "2004-08-28" "2004-09-11" 14
"351" 897 12 "2004-09-11" "2004-10-02" 21
"352" 898 12 "2004-10-02" "2004-10-31" 29
"353" 899 12 "2004-10-31" "2004-12-04" 34
"354" 900 12 "2004-12-04" "2005-01-05" 32
"355" 901 13 "2003-06-24" "2003-07-22" 28
"356" 902 13 "2003-07-22" "2003-08-05" 14
"357" 903 13 "2003-08-05" "2003-09-03" 29
"358" 904 13 "2003-09-03" "2003-09-17" 14
"359" 905 13 "2003-09-17" "2003-10-03" 16
"360" 906 13 "2003-10-03" "2003-10-14" 11
"361" 907 13 "2003-10-14" "2003-11-14" 31
"362" 908 13 "2003-11-14" "2003-12-09" 25
"363" 1748 13 "2003-12-09" "2004-03-25" 107
"364" 1749 13 "2004-03-25" "2004-04-25" 31
"365" 1750 13 "2004-04-25" "2004-05-25" 30
"366" 909 13 "2004-05-25" "2004-06-08" 14
"367" 910 13 "2004-06-08" "2004-06-23" 15
"368" 911 13 "2004-06-23" "2004-07-07" 14
"369" 912 13 "2004-07-07" "2004-08-08" 32
"370" 913 13 "2004-08-08" "2004-08-17" 9
"371" 914 13 "2004-08-17" "2004-09-08" 22
"372" 915 13 "2004-09-08" "2004-10-27" 49
"373" 916 13 "2004-10-27" "2004-12-15" 49
"374" 917 13 "2004-12-15" "2005-03-03" 78
"375" 1639 13 "2005-03-03" "2005-04-28" 56
"376" 1640 13 "2005-04-28" "2005-05-28" 30
"377" 1641 13 "2005-05-28" "2005-06-15" 18
"378" 1642 13 "2005-06-15" "2005-07-05" 20
"379" 1643 13 "2005-07-05" "2005-07-12" 7
"380" 1644 13 "2005-07-12" "2005-07-20" 8
"381" 1645 13 "2005-07-20" "2005-07-26" 6
"382" 1646 13 "2005-07-26" "2005-08-02" 7
"383" 1647 13 "2005-08-02" "2005-08-23" 21
"384" 1648 13 "2005-08-23" "2005-09-16" 24
"385" 918 14 "2003-06-24" "2003-07-22" 28
"386" 919 14 "2003-07-22" "2003-08-05" 14
"387" 920 14 "2003-08-05" "2003-09-03" 29
"388" 921 14 "2003-09-03" "2003-09-17" 14
"389" 922 14 "2003-09-17" "2003-10-01" 14
"390" 923 14 "2003-10-01" "2003-10-14" 13
"391" 924 14 "2003-10-14" "2003-11-14" 31
"392" 925 14 "2003-11-14" "2003-12-09" 25
"393" 1751 14 "2003-12-09" "2004-03-25" 107
"394" 1752 14 "2004-03-25" "2004-04-25" 31
"395" 1753 14 "2004-04-25" "2004-05-25" 30
"396" 1999 14 "2004-05-25" "2004-06-08" 14
"397" 927 14 "2004-06-08" "2004-06-23" 15
"398" 928 14 "2004-06-23" "2004-07-07" 14
"399" 929 14 "2004-07-07" "2004-08-08" 32
"400" 930 14 "2004-08-08" "2004-08-17" 9
"401" 931 14 "2004-08-17" "2004-09-08" 22
"402" 932 14 "2004-09-08" "2004-10-27" 49
"403" 933 14 "2004-10-27" "2004-12-15" 49
"404" 934 14 "2004-12-15" "2005-03-03" 78
"405" 1649 14 "2005-03-03" "2005-04-28" 56
"406" 1650 14 "2005-04-28" "2005-05-28" 30
"407" 1651 14 "2005-05-28" "2005-06-15" 18
"408" 1652 14 "2005-06-15" "2005-07-05" 20
"409" 1653 14 "2005-07-05" "2005-07-19" 14
"410" 1654 14 "2005-07-19" "2005-08-02" 14
"411" 1655 14 "2005-08-02" "2005-08-23" 21
"412" 1656 14 "2005-08-23" "2005-09-16" 24
"413" 1657 14 "2005-09-16" "2006-04-24" 220
"414" 935 15 "2003-06-24" "2003-07-22" 28
"415" 936 15 "2003-07-22" "2003-08-05" 14
"416" 937 15 "2003-08-05" "2003-08-18" 13
"417" 938 15 "2003-08-18" "2003-09-03" 16
"418" 939 15 "2003-09-03" "2003-09-17" 14
"419" 940 15 "2003-09-17" "2003-10-01" 14
"420" 941 15 "2003-10-01" "2003-10-14" 13
"421" 942 15 "2003-10-14" "2003-11-14" 31
"422" 943 15 "2003-11-14" "2003-12-09" 25
"423" 1754 15 "2003-12-09" "2004-03-25" 107
"424" 1755 15 "2004-03-25" "2004-04-25" 31
"425" 1756 15 "2004-04-25" "2004-05-25" 30
"426" 944 15 "2004-05-25" "2004-06-23" 29
"427" 945 15 "2004-06-23" "2004-07-07" 14
"428" 946 15 "2004-07-07" "2004-08-08" 32
"429" 947 15 "2004-08-08" "2004-09-08" 31
"430" 948 15 "2004-09-08" "2004-10-27" 49
"431" 949 15 "2004-10-27" "2004-12-15" 49
"432" 950 15 "2004-12-15" "2005-03-03" 78
"433" 1658 15 "2005-03-03" "2005-05-28" 86
"434" 1659 15 "2005-05-28" "2005-07-05" 38
"435" 1660 15 "2005-07-05" "2005-07-19" 14
"436" 1661 15 "2005-07-19" "2005-08-02" 14
"437" 1662 15 "2005-08-02" "2005-08-23" 21
"438" 1663 15 "2005-08-23" "2005-09-16" 24
"439" 1664 15 "2005-09-16" "2006-04-24" 220
"440" 951 16 "2003-06-24" "2003-07-22" 28
"441" 952 16 "2003-07-22" "2003-09-03" 43
"442" 953 16 "2003-09-03" "2003-09-17" 14
"443" 954 16 "2003-09-17" "2003-10-01" 14
"444" 955 16 "2003-10-01" "2003-10-14" 13
"445" 956 16 "2003-10-14" "2003-11-14" 31
"446" 957 16 "2003-11-14" "2003-12-09" 25
"447" 1757 16 "2003-12-09" "2004-03-25" 107
"448" 1758 16 "2004-03-25" "2004-04-24" 30
"449" 1759 16 "2004-04-24" "2004-05-25" 31
"450" 958 16 "2004-05-25" "2004-06-08" 14
"451" 959 16 "2004-06-08" "2004-06-23" 15
"452" 960 16 "2004-06-23" "2004-07-07" 14
"453" 961 16 "2004-07-07" "2004-08-08" 32
"454" 962 16 "2004-08-08" "2004-09-08" 31
"455" 963 16 "2004-09-08" "2004-10-27" 49
"456" 964 16 "2004-10-27" "2004-12-15" 49
"457" 965 16 "2004-12-15" "2005-03-03" 78
"458" 1665 16 "2005-03-03" "2005-05-28" 86
"459" 1666 16 "2005-05-28" "2005-07-05" 38
"460" 1667 16 "2005-07-05" "2005-07-19" 14
"461" 1668 16 "2005-07-19" "2005-08-02" 14
"462" 1669 16 "2005-08-02" "2005-08-23" 21
"463" 1670 16 "2005-08-23" "2006-04-24" 244
"464" 270 17 "2003-06-24" "2003-07-08" 14
"465" 271 17 "2003-07-08" "2003-07-19" 11
"466" 272 17 "2003-07-19" "2003-08-12" 24
"467" 273 17 "2003-08-12" "2003-08-23" 11
"468" 274 17 "2003-08-23" "2003-09-10" 18
"469" 275 17 "2003-09-10" "2003-09-24" 14
"470" 276 17 "2003-09-24" "2003-10-07" 13
"471" 277 17 "2003-10-07" "2003-10-22" 15
"472" 278 17 "2003-10-22" "2003-11-14" 23
"473" 279 17 "2003-11-14" "2003-12-20" 36
"474" 280 17 "2003-12-20" "2003-12-28" 8
"475" 423 17 "2003-12-28" "2004-02-02" 36
"476" 424 17 "2004-02-02" "2004-02-21" 19
"477" 425 17 "2004-02-21" "2004-03-27" 35
"478" 426 17 "2004-03-27" "2004-04-13" 17
"479" 427 17 "2004-04-13" "2004-04-28" 15
"480" 428 17 "2004-04-28" "2004-05-19" 21
"481" 966 17 "2004-05-19" "2004-06-10" 22
"482" 967 17 "2004-06-10" "2004-07-13" 33
"483" 968 17 "2004-07-13" "2004-08-20" 38
"484" 969 17 "2004-08-20" "2004-10-10" 51
"485" 970 17 "2004-10-10" "2004-10-25" 15
"486" 971 17 "2004-10-25" "2004-11-16" 22
"487" 972 17 "2004-11-16" "2004-12-06" 20
"488" 973 17 "2004-12-06" "2004-12-23" 17
"489" 974 17 "2004-12-23" "2005-03-01" 68
"490" 1512 17 "2005-03-01" "2005-04-15" 45
"491" 1513 17 "2005-04-15" "2005-05-31" 46
"492" 1514 17 "2005-05-31" "2005-06-15" 15
"493" 1515 17 "2005-06-15" "2005-07-01" 16
"494" 1516 17 "2005-07-01" "2005-07-17" 16
"495" 1517 17 "2005-07-17" "2005-08-31" 45
"496" 1518 17 "2005-08-31" "2005-09-13" 13
"497" 1519 17 "2005-09-13" "2005-10-04" 21
"498" 1520 17 "2005-10-04" "2005-11-22" 49
"499" 1521 17 "2005-11-22" "2006-03-18" 116
"500" 1522 17 "2006-03-18" "2006-05-10" 53
"501" 66 18 "2003-06-25" "2003-07-06" 11
"502" 67 18 "2003-07-06" "2003-07-11" 5
"503" 68 18 "2003-07-11" "2003-07-17" 6
"504" 72 18 "2003-07-17" "2003-07-23" 6
"505" 73 18 "2003-07-23" "2003-07-29" 6
"506" 74 18 "2003-07-29" "2003-08-04" 6
"507" 75 18 "2003-08-04" "2003-08-10" 6
"508" 91 18 "2003-08-10" "2003-08-16" 6
"509" 92 18 "2003-08-16" "2003-08-22" 6
