Taxon;Vials;Specimens;CollID
Megaloptera;0;0;1081
Mollusca;0;0;1081
Myriapoda;1;1;1081
Nematocera;6;3882;1081
Neuroptera;1;2;1081
Odonata;0;0;1081
Opiliones;1;1;1081
Orthoptera;1;2;1081
Phoridae;1;432;1081
Phthiraptera;0;0;1081
Plecoptera;0;0;1081
Pseudoscorpionida;1;1;1081
Psocoptera;1;8;1081
Raphidioptera;0;0;1081
Siphonaptera;0;0;1081
Sternorrhyncha;1;4;1081
Strepsiptera;0;0;1081
Thysanoptera;0;0;1081
Trichoptera;0;0;1081
Acari;1;12;2098
Annelida;0;0;2098
Araneae;1;9;2098
Auchenorrhyncha;0;0;2098
Blattodea;0;0;2098
Brachycera (excl. Phoridae);1;3;2098
Coleoptera;1;1;2098
Collembola;1;47;2098
Dermaptera;0;0;2098
Ephemeroptera;0;0;2098
Heteroptera;0;0;2098
Hymenoptera;1;4;2098
Isopoda;0;0;2098
Lepidoptera;0;0;2098
Mecoptera;0;0;2098
Megaloptera;0;0;2098
Mollusca;0;0;2098
Myriapoda;0;0;2098
Nematocera;1;46;2098
Neuroptera;0;0;2098
Odonata;0;0;2098
Opiliones;0;0;2098
Orthoptera;0;0;2098
Phoridae;1;1;2098
Phthiraptera;0;0;2098
Plecoptera;0;0;2098
Pseudoscorpionida;0;0;2098
Psocoptera;0;0;2098
Raphidioptera;0;0;2098
Siphonaptera;0;0;2098
Sternorrhyncha;1;9;2098
Strepsiptera;0;0;2098
Thysanoptera;0;0;2098
Trichoptera;0;0;2098
Acari;1;503;1420
Annelida;0;0;1420
Araneae;1;56;1420
Auchenorrhyncha;1;68;1420
Blattodea;1;6;1420
Brachycera (excl. Phoridae);34;3852;1420
Coleoptera;7;933;1420
Collembola;1;85;1420
Dermaptera;0;0;1420
Ephemeroptera;0;0;1420
Heteroptera;1;55;1420
Hymenoptera;14;2868;1420
Isopoda;1;5;1420
Lepidoptera;1;440;1420
Mecoptera;0;0;1420
Megaloptera;0;0;1420
Mollusca;0;0;1420
Myriapoda;1;4;1420
Nematocera;7;6159;1420
Neuroptera;1;3;1420
Odonata;0;0;1420
Opiliones;1;2;1420
Orthoptera;1;4;1420
Phoridae;4;3354;1420
Phthiraptera;0;0;1420
Plecoptera;0;0;1420
Pseudoscorpionida;0;0;1420
Psocoptera;1;5;1420
Raphidioptera;0;0;1420
Siphonaptera;0;0;1420
Sternorrhyncha;1;771;1420
Strepsiptera;0;0;1420
Thysanoptera;1;9;1420
Trichoptera;1;13;1420
Acari;1;39;1760
Annelida;0;0;1760
Araneae;0;0;1760
Auchenorrhyncha;0;0;1760
Blattodea;0;0;1760
Brachycera (excl. Phoridae);0;0;1760
Coleoptera;1;1;1760
Collembola;1;11;1760
Dermaptera;0;0;1760
Ephemeroptera;0;0;1760
Heteroptera;0;0;1760
Hymenoptera;1;6;1760
Isopoda;0;0;1760
Lepidoptera;0;0;1760
Mecoptera;0;0;1760
Megaloptera;0;0;1760
Mollusca;0;0;1760
Myriapoda;0;0;1760
Nematocera;1;76;1760
Neuroptera;0;0;1760
Odonata;0;0;1760
Opiliones;1;1;1760
Orthoptera;0;0;1760
Phoridae;0;0;1760
Phthiraptera;0;0;1760
Plecoptera;0;0;1760
Pseudoscorpionida;0;0;1760
Psocoptera;0;0;1760
Raphidioptera;0;0;1760
Siphonaptera;0;0;1760
Sternorrhyncha;0;0;1760
Strepsiptera;0;0;1760
Thysanoptera;0;0;1760
Trichoptera;0;0;1760
Acari;1;146;728
Annelida;0;0;728
Araneae;1;11;728
Auchenorrhyncha;1;54;728
Blattodea;0;0;728
Brachycera (excl. Phoridae);1;46;728
Coleoptera;1;13;728
Collembola;1;100;728
Dermaptera;0;0;728
Ephemeroptera;0;0;728
Heteroptera;1;1;728
Hymenoptera;4;233;728
Isopoda;0;0;728
Lepidoptera;1;5;728
Mecoptera;0;0;728
Megaloptera;0;0;728
Mollusca;0;0;728
Myriapoda;0;0;728
Nematocera;1;694;728
Neuroptera;1;2;728
Odonata;0;0;728
Opiliones;0;0;728
Orthoptera;0;0;728
Phoridae;1;310;728
Phthiraptera;0;0;728
Plecoptera;0;0;728
Pseudoscorpionida;0;0;728
Psocoptera;1;1;728
Raphidioptera;0;0;728
Siphonaptera;0;0;728
Sternorrhyncha;1;4;728
Strepsiptera;0;0;728
Thysanoptera;1;2;728
Trichoptera;0;0;728
Acari;3;94;2097
Annelida;0;0;2097
Araneae;1;9;2097
Auchenorrhyncha;1;124;2097
Blattodea;0;0;2097
Brachycera (excl. Phoridae);9;900;2097
Coleoptera;1;136;2097
Collembola;1;17;2097
Dermaptera;0;0;2097
Ephemeroptera;0;0;2097
Heteroptera;0;0;2097
Hymenoptera;6;222;2097
Isopoda;0;0;2097
Lepidoptera;1;105;2097
Mecoptera;0;0;2097
Megaloptera;0;0;2097
Mollusca;0;0;2097
Myriapoda;0;0;2097
Nematocera;22;17474;2097
Neuroptera;1;1;2097
Odonata;0;0;2097
Opiliones;0;0;2097
Orthoptera;0;0;2097
Phoridae;1;296;2097
Phthiraptera;0;0;2097
Plecoptera;0;0;2097
Pseudoscorpionida;0;0;2097
Psocoptera;0;0;2097
Raphidioptera;0;0;2097
Siphonaptera;0;0;2097
Sternorrhyncha;1;12;2097
Strepsiptera;0;0;2097
Thysanoptera;1;4;2097
Trichoptera;0;0;2097
Acari;4;1058;1329
Annelida;0;0;1329
Araneae;1;14;1329
Auchenorrhyncha;1;83;1329
Blattodea;0;0;1329
Brachycera (excl. Phoridae);20;1760;1329
Coleoptera;3;442;1329
Collembola;1;12;1329
Dermaptera;0;0;1329
Ephemeroptera;1;8;1329
Heteroptera;1;13;1329
Hymenoptera;30;2543;1329
Isopoda;0;0;1329
Lepidoptera;1;246;1329
Mecoptera;1;4;1329
Megaloptera;0;0;1329
Mollusca;0;0;1329
Myriapoda;0;0;1329
Nematocera;13;11683;1329
Neuroptera;1;8;1329
Odonata;0;0;1329
Opiliones;1;1;1329
Orthoptera;0;0;1329
Phoridae;1;1865;1329
Phthiraptera;0;0;1329
Plecoptera;1;7;1329
Pseudoscorpionida;0;0;1329
Psocoptera;0;0;1329
Raphidioptera;0;0;1329
Siphonaptera;0;0;1329
Sternorrhyncha;1;47;1329
Strepsiptera;0;0;1329
Thysanoptera;1;32;1329
Trichoptera;2;11;1329
Acari;1;49;2096
Annelida;0;0;2096
Araneae;1;23;2096
Auchenorrhyncha;1;5;2096
Blattodea;0;0;2096
Brachycera (excl. Phoridae);7;185;2096
Coleoptera;1;66;2096
Collembola;1;94;2096
Dermaptera;0;0;2096
Ephemeroptera;0;0;2096
Heteroptera;1;7;2096
Hymenoptera;1;52;2096
Isopoda;0;0;2096
Lepidoptera;1;7;2096
Mecoptera;0;0;2096
Megaloptera;0;0;2096
Mollusca;0;0;2096
Myriapoda;0;0;2096
Nematocera;4;5157;2096
Neuroptera;1;1;2096
Odonata;0;0;2096
Opiliones;0;0;2096
Orthoptera;0;0;2096
Phoridae;1;79;2096
Phthiraptera;0;0;2096
Plecoptera;0;0;2096
Pseudoscorpionida;0;0;2096
Psocoptera;0;0;2096
Raphidioptera;0;0;2096
Siphonaptera;0;0;2096
Sternorrhyncha;1;82;2096
Strepsiptera;0;0;2096
Thysanoptera;0;0;2096
Trichoptera;0;0;2096
Acari;3;464;1300
Annelida;0;0;1300
Araneae;1;22;1300
Auchenorrhyncha;1;0;1300
Blattodea;1;1;1300
Brachycera (excl. Phoridae);2;0;1300
Coleoptera;1;39;1300
Collembola;1;16;1300
Dermaptera;0;0;1300
Ephemeroptera;0;0;1300
Heteroptera;1;1;1300
Hymenoptera;3;573;1300
Isopoda;0;0;1300
Lepidoptera;1;22;1300
Mecoptera;0;0;1300
Megaloptera;0;0;1300
Mollusca;0;0;1300
Myriapoda;0;0;1300
Nematocera;31;6269;1300
Neuroptera;1;1;1300
Odonata;0;0;1300
Opiliones;0;0;1300
Orthoptera;0;0;1300
Phoridae;1;122;1300
Phthiraptera;0;0;1300
Plecoptera;1;2;1300
Pseudoscorpionida;0;0;1300
Psocoptera;1;4;1300
Raphidioptera;1;1;1300
Siphonaptera;0;0;1300
Sternorrhyncha;1;19;1300
Strepsiptera;0;0;1300
Thysanoptera;1;57;1300
Trichoptera;0;0;1300
Acari;3;223;1079
Annelida;0;0;1079
Araneae;1;33;1079
Auchenorrhyncha;1;47;1079
Blattodea;0;0;1079
Brachycera (excl. Phoridae);3;160;1079
Coleoptera;2;206;1079
Collembola;1;236;1079
Dermaptera;0;0;1079
Ephemeroptera;0;0;1079
Heteroptera;1;23;1079
Hymenoptera;10;668;1079
Isopoda;0;0;1079
Lepidoptera;1;195;1079
Mecoptera;0;0;1079
Megaloptera;0;0;1079
Mollusca;0;0;1079
Myriapoda;0;0;1079
Nematocera;5;2269;1079
Neuroptera;1;1;1079
Odonata;0;0;1079
Opiliones;1;5;1079
Orthoptera;1;4;1079
Phoridae;1;372;1079
Phthiraptera;0;0;1079
Plecoptera;0;0;1079
Pseudoscorpionida;1;2;1079
Psocoptera;1;59;1079
Raphidioptera;0;0;1079
Siphonaptera;0;0;1079
Sternorrhyncha;1;13;1079
Strepsiptera;0;0;1079
Thysanoptera;1;4;1079
Trichoptera;1;1;1079
Acari;1;154;1328
Annelida;0;0;1328
Araneae;1;35;1328
Auchenorrhyncha;1;68;1328
Blattodea;1;1;1328
Brachycera (excl. Phoridae);19;2854;1328
Coleoptera;3;2260;1328
Collembola;1;16;1328
Dermaptera;0;0;1328
Ephemeroptera;1;1;1328
Heteroptera;1;17;1328
Hymenoptera;18;2506;1328
Isopoda;0;0;1328
Lepidoptera;1;166;1328
Mecoptera;1;2;1328
Megaloptera;0;0;1328
Mollusca;0;0;1328
Myriapoda;0;0;1328
Nematocera;28;16959;1328
Neuroptera;1;5;1328
Odonata;0;0;1328
Opiliones;0;0;1328
Orthoptera;0;0;1328
Phoridae;2;2069;1328
Phthiraptera;0;0;1328
Plecoptera;1;19;1328
Pseudoscorpionida;0;0;1328
Psocoptera;1;1;1328
Raphidioptera;0;0;1328
Siphonaptera;0;0;1328
Sternorrhyncha;1;58;1328
Strepsiptera;0;0;1328
Thysanoptera;1;14;1328
Trichoptera;1;1;1328
Acari;3;240;284
Annelida;0;0;284
Araneae;1;12;284
Auchenorrhyncha;1;89;284
Blattodea;1;4;284
Brachycera (excl. Phoridae);11;528;284
Coleoptera;1;46;284
Collembola;1;119;284
Dermaptera;0;0;284
Ephemeroptera;0;0;284
Heteroptera;1;37;284
Hymenoptera;6;1061;284
Isopoda;0;0;284
Lepidoptera;1;327;284
Mecoptera;0;0;284
Megaloptera;0;0;284
Mollusca;0;0;284
Myriapoda;0;0;284
Nematocera;12;818;284
Neuroptera;1;3;284
Odonata;0;0;284
Opiliones;3;13;284
Orthoptera;0;0;284
Phoridae;1;399;284
Phthiraptera;0;0;284
Plecoptera;0;0;284
Pseudoscorpionida;0;0;284
Psocoptera;1;88;284
Raphidioptera;0;0;284
Siphonaptera;1;1;284
Sternorrhyncha;1;113;284
Strepsiptera;0;0;284
Thysanoptera;0;0;284
Trichoptera;0;0;284
