"Genus"	"Species"	"Author"	"Total"	"TrapID"	"EventID"	"Order"	"AnalysisTaxon"	"SciName"
"1310"	"Adelius"	"subfasciatus"	"Haliday, 1833"	1	2046	2055	"Hymenoptera"	"Adeliini"	"Adelius subfasciatus"
"142"	"Adelius"	"subfasciatus"	"Haliday, 1833"	1	2046	2056	"Hymenoptera"	"Adeliini"	"Adelius subfasciatus"
"151"	"Adelius"	"subfasciatus"	"Haliday, 1833"	1	2046	2054	"Hymenoptera"	"Adeliini"	"Adelius subfasciatus"
"161"	"Adelius"	"subfasciatus"	"Haliday, 1833"	1	2046	2053	"Hymenoptera"	"Adeliini"	"Adelius subfasciatus"
"171"	"Adelius"	"subfasciatus"	"Haliday, 1833"	1	22	1363	"Hymenoptera"	"Adeliini"	"Adelius subfasciatus"
"181"	"Adelius"	"subfasciatus"	"Haliday, 1833"	1	22	1363	"Hymenoptera"	"Adeliini"	"Adelius subfasciatus"
"191"	"Adelius"	"subfasciatus"	"Haliday, 1833"	1	22	1364	"Hymenoptera"	"Adeliini"	"Adelius subfasciatus"
"201"	"Adelius"	"subfasciatus"	"Haliday, 1833"	1	22	1364	"Hymenoptera"	"Adeliini"	"Adelius subfasciatus"
"211"	"Adelius"	"subfasciatus"	"Haliday, 1833"	1	22	1364	"Hymenoptera"	"Adeliini"	"Adelius subfasciatus"
"221"	"Adelius"	"subfasciatus"	"Haliday, 1833"	1	22	1364	"Hymenoptera"	"Adeliini"	"Adelius subfasciatus"
"231"	"Adelius"	"subfasciatus"	"Haliday, 1833"	1	22	1315	"Hymenoptera"	"Adeliini"	"Adelius subfasciatus"
"241"	"Adelius"	"subfasciatus"	"Haliday, 1833"	1	22	1315	"Hymenoptera"	"Adeliini"	"Adelius subfasciatus"
"251"	"Adelius"	"subfasciatus"	"Haliday, 1833"	1	22	1315	"Hymenoptera"	"Adeliini"	"Adelius subfasciatus"
"261"	"Adelius"	"subfasciatus"	"Haliday, 1833"	1	22	1315	"Hymenoptera"	"Adeliini"	"Adelius subfasciatus"
"271"	"Adelius"	"subfasciatus"	"Haliday, 1833"	1	22	1314	"Hymenoptera"	"Adeliini"	"Adelius subfasciatus"
"281"	"Adelius"	"subfasciatus"	"Haliday, 1833"	1	22	1313	"Hymenoptera"	"Adeliini"	"Adelius subfasciatus"
"291"	"Adelius"	"subfasciatus"	"Haliday, 1833"	1	22	1731	"Hymenoptera"	"Adeliini"	"Adelius subfasciatus"
"301"	"Adelius"	"subfasciatus"	"Haliday, 1833"	1	22	1731	"Hymenoptera"	"Adeliini"	"Adelius subfasciatus"
"311"	"Adelius"	"subfasciatus"	"Haliday, 1833"	1	22	1731	"Hymenoptera"	"Adeliini"	"Adelius subfasciatus"
"321"	"Adelius"	"subfasciatus"	"Haliday, 1833"	1	22	1731	"Hymenoptera"	"Adeliini"	"Adelius subfasciatus"
"331"	"Adelius"	"subfasciatus"	"Haliday, 1833"	1	22	1731	"Hymenoptera"	"Adeliini"	"Adelius subfasciatus"
"341"	"Adelius"	"subfasciatus"	"Haliday, 1833"	1	17	1517	"Hymenoptera"	"Adeliini"	"Adelius subfasciatus"
"351"	"Adelius"	"subfasciatus"	"Haliday, 1833"	1	17	1517	"Hymenoptera"	"Adeliini"	"Adelius subfasciatus"
"361"	"Adelius"	"subfasciatus"	"Haliday, 1833"	1	17	1517	"Hymenoptera"	"Adeliini"	"Adelius subfasciatus"
"371"	"Adelius"	"subfasciatus"	"Haliday, 1833"	1	17	1517	"Hymenoptera"	"Adeliini"	"Adelius subfasciatus"
"381"	"Adelius"	"clandestinus"	"(Förster, 1851)"	1	17	1517	"Hymenoptera"	"Adeliini"	"Adelius clandestinus"
"391"	"Adelius"	"subfasciatus"	"Haliday, 1833"	1	38	1454	"Hymenoptera"	"Adeliini"	"Adelius subfasciatus"
"401"	"Adelius"	"subfasciatus"	"Haliday, 1833"	1	38	580	"Hymenoptera"	"Adeliini"	"Adelius subfasciatus"
"411"	"Adelius"	"subfasciatus"	"Haliday, 1833"	1	38	1448	"Hymenoptera"	"Adeliini"	"Adelius subfasciatus"
"421"	"Adelius"	"subfasciatus"	"Haliday, 1833"	1	38	1448	"Hymenoptera"	"Adeliini"	"Adelius subfasciatus"
"431"	"Adelius"	"subfasciatus"	"Haliday, 1833"	1	38	1447	"Hymenoptera"	"Adeliini"	"Adelius subfasciatus"
"441"	"Adelius"	"subfasciatus"	"Haliday, 1833"	1	1007	1986	"Hymenoptera"	"Adeliini"	"Adelius subfasciatus"
"451"	"Adelius"	"subfasciatus"	"Haliday, 1833"	1	1001	1354	"Hymenoptera"	"Adeliini"	"Adelius subfasciatus"
"461"	"Adelius"	"subfasciatus"	"Haliday, 1833"	1	2006	2016	"Hymenoptera"	"Adeliini"	"Adelius subfasciatus"
"471"	"Adelius"	"subfasciatus"	"Haliday, 1833"	1	46	1200	"Hymenoptera"	"Adeliini"	"Adelius subfasciatus"
"481"	"Adelius"	"subfasciatus"	"Haliday, 1833"	1	28	1458	"Hymenoptera"	"Adeliini"	"Adelius subfasciatus"
"491"	"Adelius"	"subfasciatus"	"Haliday, 1833"	1	28	1458	"Hymenoptera"	"Adeliini"	"Adelius subfasciatus"
"501"	"Adelius"	"subfasciatus"	"Haliday, 1833"	1	28	1458	"Hymenoptera"	"Adeliini"	"Adelius subfasciatus"
"511"	"Adelius"	"subfasciatus"	"Haliday, 1833"	1	28	1465	"Hymenoptera"	"Adeliini"	"Adelius subfasciatus"
"521"	"Adelius"	"subfasciatus"	"Haliday, 1833"	1	28	1465	"Hymenoptera"	"Adeliini"	"Adelius subfasciatus"
"531"	"Adelius"	"subfasciatus"	"Haliday, 1833"	1	28	1465	"Hymenoptera"	"Adeliini"	"Adelius subfasciatus"
"541"	"Adelius"	"subfasciatus"	"Haliday, 1833"	1	28	1465	"Hymenoptera"	"Adeliini"	"Adelius subfasciatus"
"551"	"Adelius"	"subfasciatus"	"Haliday, 1833"	1	28	1465	"Hymenoptera"	"Adeliini"	"Adelius subfasciatus"
"561"	"Adelius"	"subfasciatus"	"Haliday, 1833"	1	28	1465	"Hymenoptera"	"Adeliini"	"Adelius subfasciatus"
"571"	"Adelius"	"subfasciatus"	"Haliday, 1833"	1	28	1461	"Hymenoptera"	"Adeliini"	"Adelius subfasciatus"
"581"	"Adelius"	"clandestinus"	"(Förster, 1851)"	1	28	1460	"Hymenoptera"	"Adeliini"	"Adelius clandestinus"
"591"	"Adelius"	"clandestinus"	"(Förster, 1851)"	1	28	1460	"Hymenoptera"	"Adeliini"	"Adelius clandestinus"
"601"	"Adelius"	"subfasciatus"	"Haliday, 1833"	1	28	1468	"Hymenoptera"	"Adeliini"	"Adelius subfasciatus"
"611"	"Adelius"	"subfasciatus"	"Haliday, 1833"	1	28	1468	"Hymenoptera"	"Adeliini"	"Adelius subfasciatus"
"621"	"Adelius"	"subfasciatus"	"Haliday, 1833"	1	1004	1797	"Hymenoptera"	"Adeliini"	"Adelius subfasciatus"
"631"	"Adelius"	"subfasciatus"	"Haliday, 1833"	1	35	1101	"Hymenoptera"	"Adeliini"	"Adelius subfasciatus"
"641"	"Adelius"	"subfasciatus"	"Haliday, 1833"	1	35	1101	"Hymenoptera"	"Adeliini"	"Adelius subfasciatus"
"651"	"Adelius"	"subfasciatus"	"Haliday, 1833"	1	35	1103	"Hymenoptera"	"Adeliini"	"Adelius subfasciatus"
"661"	"Adelius"	"subfasciatus"	"Haliday, 1833"	1	35	553	"Hymenoptera"	"Adeliini"	"Adelius subfasciatus"
"671"	"Adelius"	"subfasciatus"	"Haliday, 1833"	1	35	553	"Hymenoptera"	"Adeliini"	"Adelius subfasciatus"
"681"	"Adelius"	"subfasciatus"	"Haliday, 1833"	1	35	558	"Hymenoptera"	"Adeliini"	"Adelius subfasciatus"
"691"	"Adelius"	"clandestinus"	"(Förster, 1851)"	1	49	2062	"Hymenoptera"	"Adeliini"	"Adelius clandestinus"
"701"	"Adelius"	"clandestinus"	"(Förster, 1851)"	1	49	2062	"Hymenoptera"	"Adeliini"	"Adelius clandestinus"
"711"	"Adelius"	"subfasciatus"	"Haliday, 1833"	1	49	2062	"Hymenoptera"	"Adeliini"	"Adelius subfasciatus"
"721"	"Adelius"	"subfasciatus"	"Haliday, 1833"	1	49	2062	"Hymenoptera"	"Adeliini"	"Adelius subfasciatus"
"731"	"Adelius"	"subfasciatus"	"Haliday, 1833"	1	49	2062	"Hymenoptera"	"Adeliini"	"Adelius subfasciatus"
"741"	"Adelius"	"subfasciatus"	"Haliday, 1833"	1	50	1225	"Hymenoptera"	"Adeliini"	"Adelius subfasciatus"
"751"	"Adelius"	"subfasciatus"	"Haliday, 1833"	1	50	715	"Hymenoptera"	"Adeliini"	"Adelius subfasciatus"
"761"	"Adelius"	"subfasciatus"	"Haliday, 1833"	1	50	1224	"Hymenoptera"	"Adeliini"	"Adelius subfasciatus"
"771"	"Adelius"	"subfasciatus"	"Haliday, 1833"	1	50	1224	"Hymenoptera"	"Adeliini"	"Adelius subfasciatus"
"781"	"Adelius"	"subfasciatus"	"Haliday, 1833"	1	50	1224	"Hymenoptera"	"Adeliini"	"Adelius subfasciatus"
"791"	"Adelius"	"subfasciatus"	"Haliday, 1833"	1	47	694	"Hymenoptera"	"Adeliini"	"Adelius subfasciatus"
"801"	"Adelius"	"subfasciatus"	"Haliday, 1833"	1	47	1956	"Hymenoptera"	"Adeliini"	"Adelius subfasciatus"
"811"	"Adelius"	"subfasciatus"	"Haliday, 1833"	1	47	1956	"Hymenoptera"	"Adeliini"	"Adelius subfasciatus"
"821"	"Adelius"	"subfasciatus"	"Haliday, 1833"	1	47	1956	"Hymenoptera"	"Adeliini"	"Adelius subfasciatus"
"831"	"Adelius"	"subfasciatus"	"Haliday, 1833"	1	47	1956	"Hymenoptera"	"Adeliini"	"Adelius subfasciatus"
"841"	"Adelius"	"subfasciatus"	"Haliday, 1833"	1	7	382	"Hymenoptera"	"Adeliini"	"Adelius subfasciatus"
"851"	"Adelius"	"clandestinus"	"(Förster, 1851)"	1	8	391	"Hymenoptera"	"Adeliini"	"Adelius clandestinus"
"861"	"Adelius"	"clandestinus"	"(Förster, 1851)"	1	8	1562	"Hymenoptera"	"Adeliini"	"Adelius clandestinus"
"871"	"Adelius"	"subfasciatus"	"Haliday, 1833"	1	11	1635	"Hymenoptera"	"Adeliini"	"Adelius subfasciatus"
"881"	"Adelius"	"subfasciatus"	"Haliday, 1833"	1	16	1668	"Hymenoptera"	"Adeliini"	"Adelius subfasciatus"
"891"	"Adelius"	"subfasciatus"	"Haliday, 1833"	1	21	1508	"Hymenoptera"	"Adeliini"	"Adelius subfasciatus"
"90"	"Adelius"	"subfasciatus"	"Haliday, 1833"	1	27	466	"Hymenoptera"	"Adeliini"	"Adelius subfasciatus"
"91"	"Adelius"	"subfasciatus"	"Haliday, 1833"	1	27	466	"Hymenoptera"	"Adeliini"	"Adelius subfasciatus"
"92"	"Adelius"	"clandestinus"	"(Förster, 1851)"	1	31	506	"Hymenoptera"	"Adeliini"	"Adelius clandestinus"
"93"	"Adelius"	"subfasciatus"	"Haliday, 1833"	1	31	1545	"Hymenoptera"	"Adeliini"	"Adelius subfasciatus"
"94"	"Adelius"	"subfasciatus"	"Haliday, 1833"	1	24	1308	"Hymenoptera"	"Adeliini"	"Adelius subfasciatus"
"95"	"Adelius"	"subfasciatus"	"Haliday, 1833"	1	24	1308	"Hymenoptera"	"Adeliini"	"Adelius subfasciatus"
"96"	"Adelius"	"subfasciatus"	"Haliday, 1833"	1	24	1308	"Hymenoptera"	"Adeliini"	"Adelius subfasciatus"
"97"	"Adelius"	"subfasciatus"	"Haliday, 1833"	1	24	1308	"Hymenoptera"	"Adeliini"	"Adelius subfasciatus"
