"EventID"	"TrapID"	"StartDate"	"EndDate"	"NA..4"
"214"	392	8	"2003.viii.04"	"2003.viii.19"	NA
"215"	393	8	"2003.viii.19"	"2003.ix.07"	NA
"216"	394	8	"2003.ix.07"	"2004.vi.01"	NA
"217"	395	8	"2004.vi.01"	"2004.vi.15"	NA
"218"	1557	8	"2004.vi.15"	"2004.vi.28"	NA
"219"	1558	8	"2004.vi.28"	"2004.vii.13"	NA
"220"	1559	8	"2004.vii.13"	"2004.vii.29"	NA
"221"	1560	8	"2004.vii.29"	"2004.viii.08"	NA
"222"	1561	8	"2004.viii.08"	"2004.viii.27"	NA
"223"	1562	8	"2004.viii.27"	"2004.ix.10"	NA
"224"	1563	8	"2004.ix.10"	"2004.xii.17"	NA
"225"	1599	8	"2004.xii.17"	"2005.iv.30"	NA
"226"	1600	8	"2005.iv.30"	"2005.v.20"	NA
"227"	1601	8	"2005.v.20"	"2005.vi.20"	NA
"228"	1602	8	"2005.vi.20"	"2005.vii.18"	NA
"229"	1603	8	"2005.vii.18"	"2005.ix.05"	NA
"230"	1604	8	"2005.ix.05"	"2005.xi.15"	NA
"231"	1605	8	"2005.xi.15"	"2006.iv.05"	NA
"232"	355	9	"2003.vi.18"	"2003.vii.06"	NA
"233"	356	9	"2003.vii.06"	"2003.vii.19"	NA
"234"	357	9	"2003.vii.19"	"2003.viii.02"	NA
"235"	2064	9	"2003.viii.02"	"2003.viii.13"	NA
"236"	358	9	"2003.viii.13"	"2003.viii.31"	NA
"237"	359	9	"2003.viii.31"	"2003.ix.01"	NA
"238"	360	9	"2003.ix.01"	"2003.ix.19"	NA
"239"	361	9	"2003.ix.19"	"2003.ix.27"	NA
"240"	362	9	"2003.ix.27"	"2003.x.12"	NA
"241"	363	9	"2003.x.12"	"2003.xii.26"	NA
"242"	364	9	"2003.xii.26"	"2004.iv.06"	NA
"243"	365	9	"2004.iv.06"	"2004.iv.27"	NA
"244"	366	9	"2004.iv.27"	"2004.v.22"	NA
"245"	367	9	"2004.v.22"	"2004.v.31"	NA
"246"	865	9	"2004.v.31"	"2004.vi.19"	NA
"247"	866	9	"2004.vi.19"	"2004.vii.11"	NA
"248"	867	9	"2004.vii.11"	"2004.viii.07"	NA
"249"	868	9	"2004.viii.07"	"2004.viii.17"	NA
"250"	869	9	"2004.viii.17"	"2004.ix.01"	NA
"251"	870	9	"2004.ix.01"	"2004.ix.20"	NA
"252"	871	9	"2004.ix.20"	"2004.ix.30"	NA
"253"	872	9	"2004.ix.30"	"2004.x.25"	NA
"254"	873	9	"2004.x.25"	"2004.xii.19"	NA
"255"	874	9	"2004.xii.19"	"2005.iii.25"	NA
"256"	875	9	"2005.iii.25"	"2005.v.01"	NA
"257"	1606	9	"2005.v.01"	"2005.v.15"	NA
"258"	1607	9	"2005.v.15"	"2005.v.28"	NA
"259"	1608	9	"2005.v.28"	"2005.vi.11"	NA
"260"	1609	9	"2005.vi.11"	"2005.vi.24"	NA
"261"	1610	9	"2005.vi.24"	"2005.vii.16"	NA
"262"	1611	9	"2005.vii.16"	"2005.viii.06"	NA
"263"	1612	9	"2005.viii.06"	"2005.viii.22"	NA
"264"	1613	9	"2005.viii.22"	"2005.ix.05"	NA
"265"	1614	9	"2005.ix.05"	"2005.x.04"	NA
"266"	1615	9	"2005.x.04"	"2005.x.21"	NA
"267"	1616	9	"2005.x.21"	"2005.xii.08"	NA
"268"	396	10	"2003.vi.23"	"2003.vii.08"	NA
"269"	397	10	"2003.vii.08"	"2003.vii.21"	NA
"270"	398	10	"2003.vii.21"	"2003.viii.04"	NA
"271"	399	10	"2003.viii.04"	"2003.viii.26"	NA
"272"	400	10	"2003.viii.26"	"2003.ix.16"	NA
"273"	401	10	"2003.ix.16"	"2003.x.14"	NA
"274"	402	10	"2003.x.14"	"2003.xi.11"	NA
"275"	403	10	"2003.xi.11"	"2004.i.14"	NA
"276"	404	10	"2004.i.14"	"2004.ii.18"	NA
"277"	405	10	"2004.ii.18"	"2004.iii.27"	NA
"278"	406	10	"2004.iii.27"	"2004.iv.15"	NA
"279"	407	10	"2004.iv.15"	"2004.v.13"	NA
"280"	408	10	"2004.v.13"	"2004.vi.18"	NA
"281"	876	10	"2004.vi.18"	"2004.vii.01"	NA
"282"	877	10	"2004.vii.01"	"2004.vii.28"	NA
"283"	878	10	"2004.vii.28"	"2004.ix.16"	NA
"284"	879	10	"2004.ix.16"	"2004.xii.16"	NA
"285"	880	10	"2004.xii.16"	"2005.iii.03"	NA
"286"	1617	10	"2005.iii.03"	"2005.iii.30"	NA
"287"	1618	10	"2005.iii.30"	"2005.iv.15"	NA
"288"	1619	10	"2005.iv.15"	"2005.v.03"	NA
"289"	1620	10	"2005.v.03"	"2005.v.18"	NA
"290"	1621	10	"2005.v.18"	"2005.v.31"	NA
"291"	1622	10	"2005.v.31"	"2005.vii.01"	NA
"292"	1623	10	"2005.vii.01"	"2005.vii.15"	NA
"293"	1624	10	"2005.vii.15"	"2005.viii.01"	NA
"294"	1625	10	"2005.viii.01"	"2005.viii.15"	NA
"295"	1626	10	"2005.viii.15"	"2005.ix.01"	NA
"296"	1627	10	"2005.ix.01"	"2005.ix.16"	NA
"297"	1628	10	"2005.ix.16"	"2005.x.03"	NA
"298"	1629	10	"2005.x.03"	"2005.x.24"	NA
"299"	1630	10	"2005.x.24"	"2005.xii.01"	NA
"300"	1631	10	"2005.xii.01"	"2006.v.11"	NA
"301"	409	11	"2003.vi.23"	"2003.vii.07"	NA
"302"	410	11	"2003.vii.07"	"2003.vii.23"	NA
"303"	411	11	"2003.vii.23"	"2003.viii.04"	NA
"304"	412	11	"2003.viii.04"	"2003.viii.18"	NA
"305"	413	11	"2003.viii.18"	"2003.ix.01"	NA
"306"	414	11	"2003.ix.01"	"2003.ix.15"	NA
"307"	415	11	"2003.ix.15"	"2003.x.01"	NA
"308"	416	11	"2003.x.01"	"2003.x.25"	NA
"309"	417	11	"2003.x.25"	"2004.vi.08"	NA
"310"	418	11	"2004.vi.08"	"2004.vi.16"	NA
"311"	881	11	"2004.vi.16"	"2004.vii.09"	NA
"312"	882	11	"2004.vii.09"	"2004.vii.21"	NA
"313"	883	11	"2004.vii.21"	"2004.vii.29"	NA
"314"	884	11	"2004.vii.29"	"2004.viii.14"	NA
"315"	885	11	"2004.viii.14"	"2004.viii.27"	NA
"316"	886	11	"2004.viii.27"	"2004.ix.14"	NA
"317"	887	11	"2004.ix.14"	"2004.x.09"	NA
"318"	1632	11	"2004.x.09"	"2005.v.22"	NA
"319"	1633	11	"2005.v.22"	"2005.vi.06"	NA
"320"	1634	11	"2005.vi.06"	"2005.vi.23"	NA
"321"	1635	11	"2005.vi.23"	"2005.viii.14"	NA
"322"	1636	11	"2005.viii.14"	"2005.ix.06"	NA
"323"	1637	11	"2005.ix.06"	"2005.ix.25"	NA
"324"	1638	11	"2005.ix.25"	"2005.x.17"	NA
"325"	69	12	"2003.vi.24"	"2003.vii.05"	NA
"326"	70	12	"2003.vii.05"	"2003.vii.20"	NA
"327"	175	12	"2003.vii.20"	"2003.viii.02"	NA
"328"	176	12	"2003.viii.02"	"2003.viii.09"	NA
"329"	177	12	"2003.viii.09"	"2003.viii.25"	NA
"330"	178	12	"2003.viii.25"	"2003.ix.19"	NA
"331"	179	12	"2003.ix.19"	"2003.x.09"	NA
"332"	180	12	"2003.x.09"	"2003.x.19"	NA
"333"	419	12	"2003.x.19"	"2003.xi.29"	NA
"334"	420	12	"2003.xi.29"	"2004.i.11"	NA
"335"	421	12	"2004.i.11"	"2004.iii.27"	NA
"336"	422	12	"2004.iii.27"	"2004.iv.24"	NA
"337"	888	12	"2004.iv.24"	"2004.v.16"	NA
"338"	889	12	"2004.v.16"	"2004.vi.13"	NA
"339"	890	12	"2004.vi.13"	"2004.vi.27"	NA
"340"	891	12	"2004.vi.27"	"2004.vii.17"	NA
"341"	892	12	"2004.vii.17"	"2004.viii.01"	NA
"342"	893	12	"2004.viii.01"	"2004.viii.09"	NA
"343"	894	12	"2004.viii.09"	"2004.viii.19"	NA
"344"	895	12	"2004.viii.19"	"2004.viii.28"	NA
"345"	896	12	"2004.viii.28"	"2004.ix.11"	NA
"346"	897	12	"2004.ix.11"	"2004.x.02"	NA
"347"	898	12	"2004.x.02"	"2004.x.31"	NA
"348"	899	12	"2004.x.31"	"2004.xii.04"	NA
"349"	900	12	"2004.xii.04"	"2005.i.05"	NA
"350"	901	13	"2003.vi.24"	"2003.vii.22"	NA
"351"	902	13	"2003.vii.22"	"2003.viii.05"	NA
"352"	903	13	"2003.viii.05"	"2003.ix.03"	NA
"353"	904	13	"2003.ix.03"	"2003.ix.17"	NA
"354"	905	13	"2003.ix.17"	"2003.x.03"	NA
"355"	906	13	"2003.x.03"	"2003.x.14"	NA
"356"	907	13	"2003.x.14"	"2003.xi.14"	NA
"357"	908	13	"2003.xi.14"	"2003.xii.09"	NA
"358"	1748	13	"2003.xii.09"	"2004.iii.25"	NA
"359"	1749	13	"2004.iii.25"	"2004.iv.25"	NA
"360"	1750	13	"2004.iv.25"	"2004.v.25"	NA
"361"	909	13	"2004.v.25"	"2004.vi.08"	NA
"362"	910	13	"2004.vi.08"	"2004.vi.23"	NA
"363"	911	13	"2004.vi.23"	"2004.vii.07"	NA
"364"	912	13	"2004.vii.07"	"2004.viii.08"	NA
"365"	913	13	"2004.viii.08"	"2004.viii.17"	NA
"366"	914	13	"2004.viii.17"	"2004.ix.08"	NA
"367"	915	13	"2004.ix.08"	"2004.x.27"	NA
"368"	916	13	"2004.x.27"	"2004.xii.15"	NA
"369"	917	13	"2004.xii.15"	"2005.iii.03"	NA
"370"	1639	13	"2005.iii.03"	"2005.iv.28"	NA
"371"	1640	13	"2005.iv.28"	"2005.v.28"	NA
"372"	1641	13	"2005.v.28"	"2005.vi.15"	NA
"373"	1642	13	"2005.vi.15"	"2005.vii.05"	NA
"374"	1643	13	"2005.vii.05"	"2005.vii.12"	NA
"375"	1644	13	"2005.vii.12"	"2005.vii.20"	NA
"376"	1645	13	"2005.vii.20"	"2005.vii.26"	NA
"377"	1646	13	"2005.vii.26"	"2005.viii.02"	NA
"378"	1647	13	"2005.viii.02"	"2005.viii.23"	NA
"379"	1648	13	"2005.viii.23"	"2005.ix.16"	NA
"380"	918	14	"2003.vi.24"	"2003.vii.22"	NA
"381"	919	14	"2003.vii.22"	"2003.viii.05"	NA
"382"	920	14	"2003.viii.05"	"2003.ix.03"	NA
"383"	921	14	"2003.ix.03"	"2003.ix.17"	NA
"384"	922	14	"2003.ix.17"	"2003.x.01"	NA
"385"	923	14	"2003.x.01"	"2003.x.14"	NA
"386"	924	14	"2003.x.14"	"2003.xi.14"	NA
"387"	925	14	"2003.xi.14"	"2003.xii.09"	NA
"388"	1751	14	"2003.xii.09"	"2004.iii.25"	NA
"389"	1752	14	"2004.iii.25"	"2004.iv.25"	NA
"390"	1753	14	"2004.iv.25"	"2004.v.25"	NA
"391"	1999	14	"2004.v.25"	"2004.vi.08"	NA
"392"	927	14	"2004.vi.08"	"2004.vi.23"	NA
"393"	928	14	"2004.vi.23"	"2004.vii.07"	NA
"394"	929	14	"2004.vii.07"	"2004.viii.08"	NA
"395"	930	14	"2004.viii.08"	"2004.viii.17"	NA
"396"	931	14	"2004.viii.17"	"2004.ix.08"	NA
"397"	932	14	"2004.ix.08"	"2004.x.27"	NA
"398"	933	14	"2004.x.27"	"2004.xii.15"	NA
"399"	934	14	"2004.xii.15"	"2005.iii.03"	NA
"400"	1649	14	"2005.iii.03"	"2005.iv.28"	NA
"401"	1650	14	"2005.iv.28"	"2005.v.28"	NA
"402"	1651	14	"2005.v.28"	"2005.vi.15"	NA
"403"	1652	14	"2005.vi.15"	"2005.vii.05"	NA
"404"	1653	14	"2005.vii.05"	"2005.vii.19"	NA
"405"	1654	14	"2005.vii.19"	"2005.viii.02"	NA
"406"	1655	14	"2005.viii.02"	"2005.viii.23"	NA
"407"	1656	14	"2005.viii.23"	"2005.ix.16"	NA
"408"	1657	14	"2005.ix.16"	"2006.iv.24"	NA
"409"	935	15	"2003.vi.24"	"2003.vii.22"	NA
"410"	936	15	"2003.vii.22"	"2003.viii.05"	NA
"411"	937	15	"2003.viii.05"	"2003.viii.18"	NA
"412"	938	15	"2003.viii.18"	"2003.ix.03"	NA
"413"	939	15	"2003.ix.03"	"2003.ix.17"	NA
"414"	940	15	"2003.ix.17"	"2003.x.01"	NA
"415"	941	15	"2003.x.01"	"2003.x.14"	NA
"416"	942	15	"2003.x.14"	"2003.xi.14"	NA
"417"	943	15	"2003.xi.14"	"2003.xii.09"	NA
"418"	1754	15	"2003.xii.09"	"2004.iii.25"	NA
"419"	1755	15	"2004.iii.25"	"2004.iv.25"	NA
"420"	1756	15	"2004.iv.25"	"2004.v.25"	NA
"421"	944	15	"2004.v.25"	"2004.vi.23"	NA
"422"	945	15	"2004.vi.23"	"2004.vii.07"	NA
"423"	946	15	"2004.vii.07"	"2004.viii.08"	NA
"424"	947	15	"2004.viii.08"	"2004.ix.08"	NA
"425"	948	15	"2004.ix.08"	"2004.x.27"	NA
"426"	949	15	"2004.x.27"	"2004.xii.15"	NA
"427"	950	15	"2004.xii.15"	"2005.iii.03"	NA
"428"	1658	15	"2005.iii.03"	"2005.v.28"	NA
"429"	1659	15	"2005.v.28"	"2005.vii.05"	NA
"430"	1660	15	"2005.vii.05"	"2005.vii.19"	NA
"431"	1661	15	"2005.vii.19"	"2005.viii.02"	NA
"432"	1662	15	"2005.viii.02"	"2005.viii.23"	NA
"433"	1663	15	"2005.viii.23"	"2005.ix.16"	NA
"434"	1664	15	"2005.ix.16"	"2006.iv.24"	NA
"435"	951	16	"2003.vi.24"	"2003.vii.22"	NA
"436"	952	16	"2003.vii.22"	"2003.ix.03"	NA
"437"	953	16	"2003.ix.03"	"2003.ix.17"	NA
"438"	954	16	"2003.ix.17"	"2003.x.01"	NA
"439"	955	16	"2003.x.01"	"2003.x.14"	NA
"440"	956	16	"2003.x.14"	"2003.xi.14"	NA
"441"	957	16	"2003.xi.14"	"2003.xii.09"	NA
"442"	1757	16	"2003.xii.09"	"2004.iii.25"	NA
"443"	1758	16	"2004.iii.25"	"2004.iv.24"	NA
"444"	1759	16	"2004.iv.24"	"2004.v.25"	NA
"445"	958	16	"2004.v.25"	"2004.vi.08"	NA
"446"	959	16	"2004.vi.08"	"2004.vi.23"	NA
"447"	960	16	"2004.vi.23"	"2004.vii.07"	NA
"448"	961	16	"2004.vii.07"	"2004.viii.08"	NA
"449"	962	16	"2004.viii.08"	"2004.ix.08"	NA
"450"	963	16	"2004.ix.08"	"2004.x.27"	NA
